"METRIC","SC","AC_5","Pw","Pr","Pj","Sb","Sw","Bf","Ce","La","He","Po","Bw","Mh","OH"
"BA",2,45,35.00,38.10,24.90,23.10,23.80,23.10,16.20,16.20,17.70,28.60,21.40,17.70,17.70
"BA",2,50,36.00,39.00,25.20,25.00,25.80,25.00,17.50,17.50,18.90,30.00,22.20,18.90,18.90
"BA",2,55,36.80,39.70,25.40,26.80,27.60,26.80,18.80,18.80,20.10,31.00,22.90,20.10,20.10
"BA",2,60,37.40,40.20,25.60,28.20,29.00,28.20,19.70,19.70,21.30,32.00,23.30,21.30,21.30
"BA",2,65,37.80,40.90,25.70,29.70,30.60,29.70,20.80,20.80,22.30,32.80,23.60,22.30,22.30
"BA",2,70,38.20,41.20,25.80,31.00,31.90,31.00,21.70,21.70,23.30,33.40,23.80,23.30,23.30
"BA",2,75,38.50,41.40,25.90,32.20,33.20,32.20,22.50,22.50,24.20,33.70,23.90,24.20,24.20
"BA",2,80,38.80,41.60,26.00,33.30,34.30,33.30,23.30,23.30,25.10,34.00,24.00,25.10,25.10
"BA",2,85,39.10,41.80,26.00,34.20,35.20,34.20,23.90,23.90,25.90,34.10,24.00,25.90,25.90
"BA",2,90,39.30,42.00,26.10,35.00,36.10,35.00,24.50,24.50,26.70,34.20,24.00,26.70,26.70
"BA",2,95,39.50,42.10,26.10,35.70,36.80,35.70,25.00,25.00,27.40,34.20,24.00,27.40,27.40
"BA",2,100,39.70,42.20,25.80,36.30,37.40,36.30,25.40,25.40,28.10,33.20,24.00,28.10,28.10
"BA",2,105,39.80,42.20,25.50,36.80,37.90,36.80,25.80,25.80,28.80,32.20,24.00,28.80,28.80
"BA",2,110,39.90,42.30,25.20,37.20,38.30,37.20,26.00,26.00,29.40,31.20,24.00,29.40,29.40
"BA",2,115,40.00,42.40,24.90,37.50,38.60,37.50,26.30,26.30,30.00,30.20,23.50,30.00,30.00
"BA",2,120,40.10,42.40,24.60,37.70,38.80,37.70,26.40,26.40,30.50,29.20,23.00,30.50,30.50
"BA",2,125,40.20,42.50,24.30,37.80,38.90,37.80,26.50,26.50,31.00,28.20,22.50,31.00,31.00
"BA",2,130,40.30,42.60,24.00,37.90,39.00,37.90,26.50,26.50,31.50,27.20,22.00,31.50,31.50
"BA",2,135,40.40,42.60,23.70,37.90,39.00,37.90,26.00,26.00,31.90,26.20,21.50,31.90,31.90
"BA",2,140,40.50,42.70,23.40,38.00,39.10,38.00,25.50,25.50,32.30,25.20,21.00,32.30,32.30
"BA",2,145,40.60,42.70,23.10,38.00,39.10,38.00,24.90,24.90,32.70,24.20,20.50,32.70,32.70
"BA",2,150,40.70,42.70,22.80,37.60,38.70,37.60,24.40,24.40,33.00,23.20,20.00,33.00,33.00
"BA",2,155,40.80,42.70,22.50,37.20,38.30,37.20,23.90,23.90,33.30,22.20,19.50,33.30,33.30
"BA",2,160,40.80,42.70,22.20,36.80,37.90,36.80,23.40,23.40,33.60,21.20,19.00,33.60,33.60
"BA",2,165,40.90,42.70,21.90,36.40,37.50,36.40,22.80,22.80,33.80,20.20,18.50,33.80,33.80
"BA",2,170,41.00,42.70,21.60,36.00,37.10,36.00,22.30,22.30,34.00,19.20,18.00,34.00,34.00
"BA",2,175,41.10,42.70,21.30,35.60,36.70,35.60,21.80,21.80,34.20,18.20,17.50,34.20,34.20
"BA",2,180,41.20,42.70,21.00,35.20,36.30,35.20,21.20,21.20,34.40,17.20,17.00,34.40,34.40
"BA",2,185,41.30,42.70,20.70,34.80,35.80,34.80,20.70,20.70,34.60,16.20,16.50,34.60,34.60
"BA",2,190,41.30,42.70,20.40,34.40,35.40,34.40,20.20,20.20,34.60,15.20,16.00,34.60,34.60
"BA",2,195,41.30,42.70,20.10,34.00,35.00,34.00,19.60,19.60,34.60,14.20,15.50,34.60,34.60
"BA",2,200,41.30,42.70,19.80,33.60,34.60,33.60,19.10,19.10,34.60,13.20,15.00,34.60,34.60
"BA",2,205,41.30,42.70,19.50,33.20,34.20,33.20,18.60,18.60,34.60,12.20,14.50,34.60,34.60
"BA",2,210,41.30,42.70,19.20,32.80,33.80,32.80,18.10,18.10,34.60,11.20,14.00,34.60,34.60
"BA",2,215,41.30,42.70,18.90,32.40,33.40,32.40,17.50,17.50,34.60,10.20,13.50,34.60,34.60
"BA",2,220,41.30,42.70,18.60,32.00,33.00,32.00,17.00,17.00,34.60,9.20,13.00,34.60,34.60
"BA",2,225,41.30,42.70,18.30,31.60,32.50,31.60,16.50,16.50,34.60,8.20,12.50,34.60,34.60
"BA",2,230,41.30,42.70,18.00,31.20,32.10,31.20,15.90,15.90,34.60,7.20,12.00,34.60,34.60
"BA",2,235,41.30,42.70,17.70,30.80,31.70,30.80,15.40,15.40,34.60,6.20,11.50,34.60,34.60
"BA",2,240,41.30,42.70,17.40,30.40,31.30,30.40,14.90,14.90,34.60,5.20,11.00,34.60,34.60
"BA",2,245,41.30,42.70,17.40,30.40,31.30,30.40,14.90,14.90,34.60,5.20,11.00,34.60,34.60
"BA",2,250,41.30,42.70,17.40,30.40,31.30,30.40,14.90,14.90,34.60,5.20,11.00,34.60,34.60
"BA",3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"BA",3,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"BA",3,15,8.80,12.70,10.60,0.00,0.00,0.00,0.00,0.00,5.30,10.30,5.90,5.30,5.30
"BA",3,20,13.90,15.50,14.00,0.00,0.00,0.00,0.00,0.00,7.40,13.50,9.00,7.40,7.40
"BA",3,25,18.30,20.20,16.40,3.80,3.90,3.80,2.70,2.70,9.40,16.60,11.90,9.40,9.40
"BA",3,30,21.90,24.10,18.20,7.30,7.50,7.30,5.10,5.10,11.20,19.00,14.50,11.20,11.20
"BA",3,35,24.90,27.40,19.40,10.30,10.60,10.30,7.20,7.20,12.90,21.30,16.40,12.90,12.90
"BA",3,40,27.20,29.90,20.30,13.00,13.40,13.00,9.10,9.10,14.40,32.20,18.00,14.40,14.40
"BA",3,45,28.90,32.00,21.10,15.50,16.00,15.50,10.90,10.90,15.80,24.70,18.90,15.80,15.80
"BA",3,50,30.30,33.70,21.70,17.80,18.30,17.80,12.50,12.50,17.10,26.20,19.80,17.10,17.10
"BA",3,55,31.30,35.10,22.30,19.90,20.50,19.90,13.90,13.90,18.30,27.20,19.90,18.30,18.30
