METRIC,SC,AC_5,Pw,Pr,Pj,Sb,Sw,Bf,Ce,La,He,Po,Bw,Mh,OH
BA,4,55,31.3,35.1,22.3,19.9,20.5,19.9,13.9,13.9,18.3,27.2,19.9,18.3,18.3
BA,4,60,32.2,36.2,22.7,21.8,22.5,21.8,15.3,15.3,19.4,28.1,20.2,19.4,19.4
BA,4,65,32.9,37.2,23,23.6,24.3,23.6,16.5,16.5,20.4,28.8,20.4,20.4,20.4
BA,4,70,33.5,38,23.3,25.2,26,25.2,17.6,17.6,21.4,29.2,20.4,21.4,21.4
BA,4,75,34,38.6,23.5,26.6,27.4,26.6,18.6,18.6,22.3,29.5,20.5,22.3,22.3
BA,4,80,34.4,39.1,23.7,27.9,28.7,27.9,19.5,19.5,23.1,29.6,20.6,23.1,23.1
BA,4,85,34.7,39.5,23.8,29.1,30,29.1,20.4,20.4,23.9,29.6,20.6,23.9,23.9
BA,4,90,34.9,39.9,23.9,30.2,31.1,30.2,21.1,21.1,24.6,29.6,20.4,24.6,24.6
BA,4,95,35.1,40.2,23.9,31.2,32.1,31.2,21.8,21.8,25.3,29.5,20.2,25.3,25.3
BA,4,100,35.3,40.4,23.5,32,33,32,22.4,22.4,25.9,29.5,20,25.9,25.9
BA,4,105,35.4,40.6,23.1,32.7,33.7,32.7,22.9,22.9,26.5,29,19.8,26.5,26.5
BA,4,110,35.4,40.7,22.7,33.3,34.3,33.3,23.3,23.3,27,28.5,19.6,27,27
BA,4,115,35.4,40.8,22.3,33.8,34.8,33.8,23.7,23.7,27.5,28,19.4,27.5,27.5
BA,4,120,35.5,40.9,21.9,34.2,35.2,34.2,23.9,23.9,27.9,27.5,19.2,27.9,27.9
BA,4,125,35.5,41,21.5,34.5,35.5,34.5,24.2,24.2,28.4,27,19,28.4,28.4
BA,4,130,35.6,41,21.1,34.7,35.7,34.7,24.3,24.3,28.7,26.5,18.8,28.7,28.7
BA,4,135,35.6,41,20.7,34.8,35.8,34.8,24.4,24.4,29.1,26,18.6,29.1,29.1
BA,4,140,35.6,41.1,20.3,34.9,35.9,34.9,23.5,23.5,29.4,25.5,18.4,29.4,29.4
BA,4,145,35.6,41.1,19.9,34.7,35.7,34.7,22.6,22.6,29.6,25,18.2,29.6,29.6
BA,4,150,35.7,41.2,19.5,34.5,35.5,34.5,21.8,21.8,29.9,24.5,18,29.9,29.9
BA,4,155,35.7,41.2,19.1,34.3,35.3,34.3,20.9,20.9,30.1,24,17.8,30.1,30.1
BA,4,160,35.7,41.2,18.7,34.1,35.1,34.1,20.1,20.1,30.3,23.5,17.6,30.3,30.3
BA,4,165,35.7,41.2,18.3,33.9,34.9,33.9,19.2,19.2,30.5,23,17.4,30.5,30.5
BA,4,170,35.7,41.2,17.9,33.7,34.7,33.7,18.3,18.3,30.7,22.5,17.2,30.7,30.7
